role,question,expected_keywords,difficulty
Data Analyst,How would you analyze customer churn?,keywords,Hard
Data Analyst,How would you build a KPI framework?,keywords,Hard
Data Analyst,Explain cohort analysis.,keywords,Hard
Data Analyst,What is forecasting?,keywords,Hard
Data Analyst,Explain attribution modeling.,keywords,Hard
Data Analyst,How would you measure business growth?,keywords,Hard
Data Analyst,What is statistical significance?,keywords,Hard
Data Analyst,How would you design an analytics system?,keywords,Hard
Data Analyst,Explain retention metrics.,keywords,Hard
Data Analyst,How would you optimize reporting?,keywords,Hard
